# Gboard Dictionary version:2
# Gboard Dictionary format:shortcut	word	language_tag	pos_tag
	a	tok	
	akesi	tok	
	ala	tok	
	alasa	tok	
	ale	tok	
	ali	tok	
	anpa	tok	
	ante	tok	
	anu	tok	
	apeja	tok	
	awen	tok	
	e	tok	
	en	tok	
	epiku	tok	
	esun	tok	
	ijo	tok	
	ike	tok	
	ilo	tok	
	insa	tok	
	jaki	tok	
	jan	tok	
	jasima	tok	
	jelo	tok	
	jo	tok	
	jupekosi	tok	
	kala	tok	
	kalama	tok	
	kama	tok	
	kapesi	tok	
	kasi	tok	
	ken	tok	
	kepeken	tok	
	kijetesantakalu	tok	
	kili	tok	
	kin	tok	
	kipisi	tok	
	kiwen	tok	
	ko	tok	
	kokosila	tok	
	kon	tok	
	ku	tok	
	kule	tok	
	kulupu	tok	
	kute	tok	
	la	tok	
	lanpan	tok	
	lape	tok	
	laso	tok	
	lawa	tok	
	leko	tok	
	len	tok	
	lete	tok	
	li	tok	
	lili	tok	
	linja	tok	
	linluwi	tok	
	lipu	tok	
	loje	tok	
	lon	tok	
	luka	tok	
	lukin	tok	
	lupa	tok	
	ma	tok	
	majuna	tok	
	mama	tok	
	mani	tok	
	meli	tok	
	melome	tok	
	meso	tok	
	mi	tok	
	mije	tok	
	mijomi	tok	
	misikeke	tok	
	moku	tok	
	moli	tok	
	monsi	tok	
	monsuta	tok	
	mu	tok	
	mulapisu	tok	
	mun	tok	
	musi	tok	
	mute	tok	
	n	tok	
	namako	tok	
	nanpa	tok	
	nasa	tok	
	nasin	tok	
	nena	tok	
	ni	tok	
	nimi	tok	
	noka	tok	
	o	tok	
	oko	tok	
	olin	tok	
	ona	tok	
	open	tok	
	pakala	tok	
	pake	tok	
	pali	tok	
	palisa	tok	
	pan	tok	
	pana	tok	
	pasila	tok	
	pata	tok	
	pi	tok	
	pilin	tok	
	pimeja	tok	
	pini	tok	
	pipi	tok	
	po	tok	
	poka	tok	
	poki	tok	
	pona	tok	
	powe	tok	
	pu	tok	
	sama	tok	
	seli	tok	
	selo	tok	
	seme	tok	
	sewi	tok	
	sijelo	tok	
	sike	tok	
	sin	tok	
	sina	tok	
	sinpin	tok	
	sitelen	tok	
	soko	tok	
	sona	tok	
	soto	tok	
	soweli	tok	
	suli	tok	
	suno	tok	
	supa	tok	
	suwi	tok	
	tan	tok	
	taso	tok	
	tawa	tok	
	teje	tok	
	telo	tok	
	tenpo	tok	
	toki	tok	
	tomo	tok	
	tonsi	tok	
	tu	tok	
	tuli	tok	
	unpa	tok	
	uta	tok	
	utala	tok	
	walo	tok	
	wan	tok	
	waso	tok	
	wawa	tok	
	weka	tok	
	wile	tok	
